Disease,Department,arabic_disease
insulin overdose,Endocrinology,جرعة زائدة من الأنسولين
chronic kidney disease,Nephrology,مرض الكلى المزمن
scabies,Dermatology,الجرب
lymphedema,Vascular Surgery,الوذمة اللمفاوية
anemia due to chronic kidney disease,Nephrology,فقر الدم بسبب مرض الكلى المزمن
viral exanthem,Dermatology,exanthem الفيروسي
hypothyroidism,Endocrinology,قصور الغدة الدرقية
pulmonic valve disease,Cardiology,مرض الصمام الرئوي
stenosis of the tear duct,Ophthalmology,تضيق القناة المسيل للدموع
psychotic disorder,Psychiatry,اضطراب ذهاني
irritable bowel syndrome,Gastroenterology,متلازمة القولون المتهيّج
pain disorder affecting the neck,Orthopedics,اضطراب الألم الذي يؤثر على الرقبة
open wound of the finger,Orthopedics,فتح الجرح من الإصبع
ganglion cyst,Orthopedics,كيس العقدة
drug abuse (barbiturates),Psychiatry,تعاطي المخدرات (barbiturates)
deviated nasal septum,ENT,حاجز الأنف المنحرف
ulcerative colitis,Gastroenterology,التهاب القولون التقرحي
pancreatic cancer,Oncology,سرطان البنكرياس
trigger finger (finger disorder),Orthopedics,الزناد إصبع (اضطراب الإصبع)
coronary atherosclerosis,Cardiology,تصلب الشرايين التاجية
atonic bladder,Urology,atonic المثانة
acute respiratory distress syndrome (ards),Pulmonology,متلازمة الضيق التنفسي الحاد (ARDS)
hydatidiform mole,Obstetrics,الخلد hydatidiform
pulmonary fibrosis,Pulmonology,التليف الرئوي
pityriasis rosea,Dermatology,pityriasis الوردية
itching of unknown cause,Dermatology,حكة قضية غير معروفة
migraine,Neurology,صداع نصفي
eczema,Dermatology,الأكزيما
cerebral edema,Neurosurgery,وذمة دماغية
nerve impingement near the shoulder,Orthopedics,إصابة الأعصاب بالقرب من الكتف
abdominal hernia,General Surgery,فتق البطن
adjustment reaction,Psychiatry,رد فعل التكيف
skin disorder,Dermatology,اضطراب الجلد
aplastic anemia,Hematology,فقر دم لا تنسّجي
testicular torsion,Urology,الالتواء الخصية
hemophilia,Hematology,الهيموفيليا
myasthenia gravis,Neurology,الوهن العضلي
down syndrome,Pediatrics,متلازمة داون
dental caries,Dentistry,تسوس الأسنان
cellulitis or abscess of mouth,Dentistry,التهاب النسيج الخلوي أو خراج الفم
epilepsy,Neurology,الصرع
strep throat,ENT,حلق
chronic rheumatic fever,Rheumatology,الحمى الروماتيزمية المزمنة
burn,Plastic Surgery,يحرق
conjunctivitis due to allergy,Ophthalmology,التهاب الملتحمة بسبب الحساسية
erectile dysfunction,Urology,الضعف الجنسي لدى الرجال
dislocation of the foot,Orthopedics,خلع القدم
intestinal disease,Gastroenterology,مرض الأمعاء
goiter,Endocrinology,تضخم الغدة الدرقية
tonsillar hypertrophy,ENT,تضخم اللوز
food allergy,Allergy,حساسية الطعام
open wound of the ear,ENT,جرح مفتوح للأذن
drug abuse (opioids),Psychiatry,تعاطي المخدرات (المواد الأفيونية)
primary kidney disease,Nephrology,مرض الكلى الأولية
gum disease,Dentistry,مرض في اللثة
heart contusion,Cardiology,كدمة القلب
gonorrhea,Gynecology,السيلان
erythema multiforme,Dermatology,حمامي multiforme
rheumatic fever,Rheumatology,الحمى الروماتيزمية
marijuana abuse,Psychiatry,إساءة استخدام الماريجوانا
noninfectious gastroenteritis,Gastroenterology,التهاب المعدة والأمعاء غير المعدي
lichen simplex,Dermatology,lichen simplex
acute kidney injury,Nephrology,إصابة الكلى الحادة
pyloric stenosis,Gastroenterology,تضيق البواب
open wound of the face,Plastic Surgery,الجرح المفتوح للوجه
interstitial lung disease,Pulmonology,مرض الرئة الخلالي
aspergillosis,Infectious Disease,داء الرشاشيات
foreign body in the vagina,Gynecology,الجسم الغريب في المهبل
metastatic cancer,Oncology,سرطان النقيلي
human immunodeficiency virus infection (hiv),Infectious Disease,عدوى فيروس نقص المناعة البشرية (فيروس نقص المناعة البشرية)
obsessive compulsive disorder (ocd),Psychiatry,الاضطراب القهري الوسواس (OCD)
molluscum contagiosum,Dermatology,الرخوة contagiosum
pulmonary hypertension,Pulmonology,ارتفاع ضغط الشريان الرئوي
subconjunctival hemorrhage,Ophthalmology,نزيف دون جونكتال
autism,Pediatrics,توحد
oral leukoplakia,Dentistry,الكريات البيض عن طريق الفم
drug abuse (cocaine),Psychiatry,تعاطي المخدرات (الكوكايين)
heart attack,Cardiology,نوبة قلبية
flu,Infectious Disease,الإنفلونزا
anal fistula,Colorectal Surgery,ناسور الشرج
urethritis,Urology,التهاب الإحليل
hirschsprung disease,Pediatrics,مرض هيرشسبونج
muscle spasm,Neurology,تشنّج عضلي
chickenpox,Pediatrics,حُماق
gas gangrene,General Surgery,غنغرينا الغاز
sick sinus syndrome,Cardiology,متلازمة الجيوب الأنفية المريضة
poisoning due to anticonvulsants,Emergency Medicine,التسمم بسبب مضادات الاختلاج
nonalcoholic liver disease (nash),Gastroenterology,مرض الكبد غير الكحولي (ناش)
poisoning due to antihypertensives,Emergency Medicine,التسمم بسبب مضادات الرحم
rocky mountain spotted fever,Infectious Disease,حُمَّى الجِبالِ الصَّخْرِيَّةِ المُبَقَّعَة‎
intussusception,Pediatrics,الغضب
hepatitis due to a toxin,Gastroenterology,التهاب الكبد بسبب السم
trichinosis,Infectious Disease,مرض دودة الخنزير
dementia,Neurology,الخَرَف
fluid overload,Nephrology,الزائد السائل
cryptorchidism,Urology,cryptorchidism
vulvar disorder,Gynecology,اضطراب الفرج
amyotrophic lateral sclerosis (als),Neurology,التصلب الجانبي الضموري (ALS)
blepharospasm,Ophthalmology,تشنج الجفن
teething syndrome,Pediatrics,متلازمة التسنين
ovarian cancer,Gynecology,سرطان المبيض
drug reaction,Allergy,رد فعل المخدرات
paroxysmal ventricular tachycardia,Cardiology,عدم انتظام دقات القلب البطيني
dislocation of the hip,Orthopedics,خلع الورك
rhabdomyolysis,Nephrology,تحلل rhabdomy
genital herpes,Gynecology,الهربس التناسلي
injury to internal organ,Trauma Surgery,إصابة العضو الداخلي
otitis externa (swimmer's ear),ENT,التهاب الأذن الأمنية externa (أذن السباح)
trichiasis,Ophthalmology,داء المشرب
headache after lumbar puncture,Neurology,صداع بعد ثقب القطني
temporary or benign blood in urine,Urology,دم مؤقت أو حميد في البول
benign paroxysmal positional vertical (bppv),ENT,رأسي الموضعية الحميدة (BPPV)
foreign body in the eye,Ophthalmology,الجسم الغريب في العين
sarcoidosis,Pulmonology,الساركويد
hyperosmotic hyperketotic state,Endocrinology,حالة فرط الفصوص الفائقة
trigeminal neuralgia,Neurology,مثلث ثلاثي
peripheral arterial embolism,Vascular Surgery,الانسداد الشرياني المحيطي
somatization disorder,Psychiatry,اضطراب الجسد
thoracic outlet syndrome,Orthopedics,متلازمة منفذ الصدر
oppositional disorder,Psychiatry,اضطراب المعارضة
alzheimer disease,Neurology,مرض الزهايمر
kidney failure,Nephrology,الفشل الكلوي
cushing syndrome,Endocrinology,متلازمة كوشينغ
female genitalia infection,Gynecology,عدوى الأعضاء التناسلية الأنثوية
moyamoya disease,Neurosurgery,مرض مويامويا
spinal stenosis,Orthopedics,تضيق العمود الفقري
viral hepatitis,Gastroenterology,التهاب الكبد الفيروسي
sepsis,Infectious Disease,تعفن الدم
open wound of the back,Orthopedics,الجرح المفتوح من الظهر
chronic back pain,Orthopedics,آلام الظهر المزمنة
head and neck cancer,Oncology,سرطان الرأس والرقبة
toxic multinodular goiter,Endocrinology,تضخم الغدة الدرقية متعددة الأبعاد السامة
acute otitis media,ENT,التهاب الأذن الوسطى الحاد
endometrial hyperplasia,Gynecology,التضخم بطانة الرحم
galactorrhea of unknown cause,Endocrinology,السيلول الجري لسبب غير معروف
hyperkalemia,Nephrology,فرط بوتاسيوم الدم
eustachian tube dysfunction (ear disorder),ENT,ضعف أنبوب يوستاتشي (اضطراب الأذن)
dislocation of the elbow,Orthopedics,خلع الكوع
hypocalcemia,Endocrinology,نقص كلس الدم
diabetic kidney disease,Nephrology,مرض الكلى السكري
atelectasis,Pulmonology,توسع
temporomandibular joint disorder,Dentistry,اضطراب المفاصل الصدغي
preeclampsia,Obstetrics,تسمم الحمل
lateral epicondylitis (tennis elbow),Orthopedics,التهاب epicondylles الجانبي (كوع التنس)
flat feet,Orthopedics,أقدام مسطحة
problem during pregnancy,Obstetrics,مشكلة أثناء الحمل
anemia,Hematology,فقر الدم
pulmonary eosinophilia,Pulmonology,الحمضات الرئوية
alopecia,Dermatology,ثعلبة
premature atrial contractions (pacs),Cardiology,الانقباضات الأذينية المبكرة (PACS)
croup,Pediatrics,مجموعة
heat exhaustion,Emergency Medicine,استنفاد الحرارة
breast cyst,Oncology,كيس الثدي
fracture of the jaw,Plastic Surgery,كسر الفك
colorectal cancer,Oncology,سرطان القولون والمستقيم
sickle cell crisis,Hematology,أزمة الخلايا المنجلية
urinary tract obstruction,Urology,انسداد المسالك البولية
gastrointestinal hemorrhage,Gastroenterology,النزيف المعوي
injury to the trunk,Trauma Surgery,إصابة الجذع
turner syndrome,Endocrinology,متلازمة تيرنر
diverticulitis,Gastroenterology,التهاب الرتج
corneal disorder,Ophthalmology,اضطراب القرنية
urethral valves,Urology,صمامات مجرى البول
amyloidosis,Rheumatology,داء النشواني
priapism,Urology,priapism
perirectal infection,Colorectal Surgery,عدوى في انتصار
chronic pancreatitis,Gastroenterology,التهاب البنكرياس المزمن
adhesive capsulitis of the shoulder,Orthopedics,التهاب كبسولة لاصقة من الكتف
hyperopia,Ophthalmology,مدّ البصر
mononucleosis,Infectious Disease,أحادية النوى
mastectomy,Oncology,استئصال الثدي
rosacea,Dermatology,العُدّ الوردي
orthostatic hypotension,Cardiology,انخفاض ضغط الدم الانتصابي
hematoma,Trauma Surgery,ورم دموي
esophagitis,Gastroenterology,التهاب المريء
ingrown toe nail,Dermatology,مسمار إصبع القدم
cirrhosis,Gastroenterology,تليف الكبد
poisoning due to antimicrobial drugs,Emergency Medicine,التسمم بسبب الأدوية المضادة للميكروبات
uterine fibroids,Gynecology,الليفية الرحم
pilonidal cyst,General Surgery,كيس بري
otitis media,ENT,التهاب الأذن الوسطى
chronic glaucoma,Ophthalmology,الجلوكوما المزمنة
cystic fibrosis,Pulmonology,تليّف كيسي
lymphoma,Oncology,سرطان الغدد الليمفاوية
open wound of the arm,Orthopedics,الجرح المفتوح للذراع
open wound of the abdomen,General Surgery,الجرح المفتوح للبطن
scleroderma,Rheumatology,الصلبة
scurvy,Nutrition,الاسقربوط
dysthymic disorder,Psychiatry,اضطراب dysthymic
premature rupture of amniotic membrane,Obstetrics,تمزق مبكر من الغشاء الأمنيوسي
cornea infection,Ophthalmology,عدوى القرنية
kidney disease due to longstanding hypertension,Nephrology,مرض الكلى بسبب ارتفاع ضغط الدم الطويل
vasculitis,Rheumatology,التهاب الأوعية الدموية
sinus bradycardia,Cardiology,الجيوب الأنفية Bradycardia
atrial flutter,Cardiology,رفرف الأذيني
acne,Dermatology,حَبُّ الشّبَاب
floaters,Ophthalmology,العوامات
intracerebral hemorrhage,Neurosurgery,النزيف داخل المخ
folate deficiency,Hematology,نقص حمض الفوليك
spermatocele,Urology,الحيوانات المنوية
reactive arthritis,Rheumatology,التهاب المفاصل التفاعلي
atrophic skin condition,Dermatology,حالة الجلد ضمورة
abscess of nose,ENT,خراج الأنف
liver disease,Gastroenterology,مرض الكبد
acute bronchiolitis,Pediatrics,التهاب الشعب الهوائية الحاد
panic attack,Psychiatry,نوبة ذعر
cryptococcosis,Infectious Disease,الشفرة
polycythemia vera,Hematology,polycythemia vera
uveitis,Ophthalmology,التهاب القزحية
post-traumatic stress disorder (ptsd),Psychiatry,اضطراب ما بعد الصدمة (اضطراب ما بعد الصدمة)
arthritis of the hip,Orthopedics,التهاب المفاصل من الورك
overflow incontinence,Urology,تفوق السلس
drug abuse,Psychiatry,تعاطي المخدرات
thrombocytopenia,Hematology,قلة الصفيحات
bipolar disorder,Psychiatry,اضطراب ذو اتجاهين
pterygium,Ophthalmology,الظفرة
foreign body in the gastrointestinal tract,Gastroenterology,الجسم الغريب في الجهاز الهضمي
neurofibromatosis,Neurology,الورم العصبي العصبي
thalassemia,Hematology,ثلاسيميا
hypertrophic obstructive cardiomyopathy (hocm),Cardiology,اعتلال عضلة القلب الانسدادي الضخم (HOCM)
attention deficit hyperactivity disorder (adhd),Psychiatry,اضطراب فرط النشاط في نقص الانتباه (ADHD)
encephalitis,Neurology,التهاب الدماغ
seborrheic keratosis,Dermatology,القرنية الدهنية
pinworm infection,Pediatrics,عدوى الدودة
fungal infection of the hair,Dermatology,العدوى الفطرية للشعر
chronic constipation,Gastroenterology,الإمساك المزمن
cervical cancer,Gynecology,سرطان عنق الرحم
injury of the ankle,Orthopedics,إصابة الكاحل
edward syndrome,Pediatrics,متلازمة إدوارد
hypertension of pregnancy,Obstetrics,ارتفاع ضغط الدم من الحمل
balanitis,Urology,التهاب بالان
alcohol withdrawal,Psychiatry,انسحاب الكحول
leukemia,Oncology,سرطان الدم
blepharitis,Ophthalmology,التهاب الجفن
pulmonary embolism,Pulmonology,الانسداد الرئوي
mitral valve disease,Cardiology,مرض الصمام التاجي
carpal tunnel syndrome,Orthopedics,متلازمة النفق الرسغي
diverticulosis,Gastroenterology,التخلص من التهاب المفاصل
conversion disorder,Psychiatry,اضطراب التحويل
dislocation of the patella,Orthopedics,خلع الرضفة
pain after an operation,General Surgery,ألم بعد العملية
intracranial abscess,Neurosurgery,خراج داخل الجمجمة
bunion,Orthopedics,ورم
knee ligament or meniscus tear,Orthopedics,الرباط في الركبة أو الغضروف المفصلي المسيل للدموع
pyogenic skin infection,Dermatology,عدوى الجلد البيني
atrophy of the corpus cavernosum,Urology,ضمور كهف كورنوسوم
lymphogranuloma venereum,Gynecology,Lymphogranuloma venereum
presbyacusis,ENT,presbyacusis
scoliosis,Orthopedics,الجنف
gastroduodenal ulcer,Gastroenterology,قرحة المعدة
toxoplasmosis,Infectious Disease,داء التوكسوبلازم
narcolepsy,Neurology,ناروليبسي
thyroid disease,Endocrinology,مرض الغدة الدرقية
decubitus ulcer,Dermatology,قرحة Decubitus
vesicoureteral reflux,Urology,ارتجاع الحويصات
paronychia,Dermatology,بارنيا
open wound from surgical incision,General Surgery,جرح مفتوح من شق الجراحية
multiple myeloma,Oncology,ورم نقيي متعدد
hypercholesterolemia,Cardiology,فرط كوليسترول الدم
dislocation of the wrist,Orthopedics,خلع المعصم
dry eye of unknown cause,Ophthalmology,جفاف العين لسبب غير معروف
acute bronchitis,Pulmonology,التهاب الشعب الهوائية الحاد
tooth abscess,Dentistry,خراج الأسنان
fracture of the rib,Orthopedics,كسر الضلع
congenital malformation syndrome,Pediatrics,متلازمة تشوه الخلقية
fracture of the ankle,Orthopedics,كسر الكاحل
injury to the hip,Orthopedics,إصابة الورك
injury to the leg,Orthopedics,إصابة في الساق
hypernatremia,Nephrology,فرط صوديوم الدم
bladder obstruction,Urology,إعاقة المثانة
systemic lupus erythematosis (sle),Rheumatology,مرض الذئبة الحمامية الجهازية (SLE)
obstructive sleep apnea (osa),Pulmonology,توقف التنفس أثناء النوم (OSA)
raynaud disease,Rheumatology,مرض رينود
guillain barre syndrome,Neurology,متلازمة Guillain Barre
foreign body in the nose,ENT,الجسم الغريب في الأنف
histoplasmosis,Infectious Disease,داء الأهليزم
fracture of the leg,Orthopedics,كسر الساق
peripheral arterial disease,Vascular Surgery,مرض الشرايين المحيطية
coagulation (bleeding) disorder,Hematology,اضطراب التخثر (النزيف)
panic disorder,Psychiatry,اضطراب الهلع
endometriosis,Gynecology,بطانة الرحم
allergy to animals,Allergy,الحساسية للحيوانات
friedrich ataxia,Neurology,فريدريتش Ataxia
fracture of the arm,Orthopedics,كسر الذراع
heat stroke,Emergency Medicine,السكتة الدماغية
hydrocephalus,Neurosurgery,استسقاء الرأس
pneumonia,Pulmonology,التهاب رئوي
hemochromatosis,Gastroenterology,داء الدم
open wound of the lip,Plastic Surgery,الجرح المفتوح للشفة
neurosis,Psychiatry,العصبية
abdominal aortic aneurysm,Vascular Surgery,تمدد الأوعية الدموية الأبهري
infectious gastroenteritis,Gastroenterology,التهاب المعدة والأمعاء المعدية
osteomyelitis,Orthopedics,التهاب العظم العظمي
substance-related mental disorder,Psychiatry,الاضطراب العقلي المتعلق بالمواد
congenital heart defect,Cardiology,عيب القلب الخلقي
primary immunodeficiency,Immunology,نقص المناعة الأولية
meckel diverticulum,Gastroenterology,ميكل رتج
bell palsy,Neurology,شلل الجرس
acute bronchospasm,Pulmonology,تشنج القصبي الحاد
athlete's foot,Dermatology,قدم الرياضي
primary insomnia,Psychiatry,الأرق الأساسي
tuberous sclerosis,Neurology,التصلب العصبي
epidural hemorrhage,Neurosurgery,النزيف فوق الجافية
syphilis,Gynecology,مرض الزهري
tic (movement) disorder,Neurology,الاضطراب (حركة الحركة)
pituitary adenoma,Endocrinology,الورم الحميد الغدة النخامية
open wound of the shoulder,Orthopedics,جرح مفتوح من الكتف
vocal cord polyp,ENT,الحبل الصوتي polyp
urge incontinence,Urology,حث السلس
connective tissue disorder,Rheumatology,اضطراب الأنسجة الضامة
dissociative disorder,Psychiatry,الاضطراب الانفصالي
bursitis,Orthopedics,التهاب كيسي
ectopic pregnancy,Obstetrics,الحمل خارج الرحم
skin cancer,Dermatology,سرطان الجلد
rheumatoid arthritis,Rheumatology,التهاب المفصل الروماتويدي
kidney stone,Urology,حصاة كلوية
threatened pregnancy,Obstetrics,الحمل المهددة
multiple sclerosis,Neurology,تصلب متعدد
diabetic peripheral neuropathy,Neurology,الاعتلال العصبي المحيطي السكري
celiac disease,Gastroenterology,مرض الاضطرابات الهضمية
skin polyp,Dermatology,البوليب الجلد
actinic keratosis,Dermatology,القرنية الحاكمة
orbital cellulitis,Ophthalmology,التهاب النسيج الخلوي المداري
pseudohypoparathyroidism,Endocrinology,Pseudohyparathyroidism
acute stress reaction,Psychiatry,رد فعل الإجهاد الحاد
cataract,Ophthalmology,إعتام عدسة العين
typhoid fever,Infectious Disease,حمى التيفوئيد
colonic polyp,Gastroenterology,الاورام الحميدة القولونية
hepatic encephalopathy,Gastroenterology,اعتلال الدماغ الكبدي
central retinal artery or vein occlusion,Ophthalmology,شريان الشبكية المركزي أو انسداد الوريد
conjunctivitis,Ophthalmology,التهاب الملتحمة
head injury,Neurosurgery,"Translation Error: the JSON object must be str, bytes or bytearray, not NoneType"
hyperhidrosis,Dermatology,فرط التعرق
open wound of the eye,Ophthalmology,جرح مفتوح للعين
peritonsillar abscess,ENT,خُراج حول اللوزة
mononeuritis,Neurology,التهاب الأحجار
infection of open wound,General Surgery,عدوى الجرح المفتوح
gynecomastia,Endocrinology,التثدي
benign kidney cyst,Urology,كيس الكلى الحميد
hydrocele of the testicle,Urology,الهيدروكل من الخصية
mittelschmerz,Gynecology,ألم متوسط
essential tremor,Neurology,هزة أساسية
pharyngitis,ENT,التهاب البلعوم
herniated disk,Orthopedics,قرص فتق
injury to the hand,Orthopedics,إصابة في اليد
crohn disease,Gastroenterology,مرض كرون
macular degeneration,Ophthalmology,تنكس البقعي
lung contusion,Pulmonology,كدمة الرئة
lymphangitis,Vascular Surgery,التهاب الليمفاوية
hypertensive heart disease,Cardiology,مرض القلب ارتفاع ضغط الدم
stomach cancer,Oncology,سرطان المعدة
meningioma,Neurosurgery,ورم سحائي
endometrial cancer,Gynecology,سرطان بطانة الرحم
hashimoto thyroiditis,Endocrinology,التهاب الغدة الدرقية Hashimoto
bone disorder,Orthopedics,اضطراب العظام
open wound of the neck,Orthopedics,جرح مفتوح من الرقبة
spondylitis,Orthopedics,التهاب الفقار
pinguecula,Ophthalmology,الناس
brain cancer,Oncology,سرطان الدماغ
